id,rectype,recmass,recfalltype,reclat,reclong
12198,Valid,40300,Fell,40.35,-104.9
12199,Valid,483,Fell,-11.85,15.83333
12202,Valid,5000,Fell,45.43333,-0.45
12203,Valid,100000,Fell,35.5,115.41667
12207,Valid,680,Fell,12.85,76.8
12209,Valid,32490,Fell,-7.71667,111.2
12210,Valid,950,Fell,35.2,118.8
12213,Valid,25250,Fell,38.74028,-7.27
12214,Valid,91000,Fell,44.71667,4.3
12218,Valid,3000,Fell,47.35,21.3
12220,Valid,13400,Fell,11.85,8.21667
12221,Valid,89,Fell,27.08333,78.33333
12222,Valid,230,Fell,27.25,79.96667
12227,Valid,1900,Fell,49.86667,30.83333
12228,Valid,2000,Fell,15,48.3
12229,Valid,200000,Fell,55.43333,53.25
12230,Valid,350,Fell,12.38333,78.51667
12231,Valid,577,Fell,45.13333,21.66667
12232,Valid,950,Fell,-6.83333,29.5
12236,Valid,4500,Fell,17.83333,73.98333
12238,Valid,2770,Fell,26.03333,81.46667
12240,Valid,448,Fell,36.04167,139.95667
12241,Valid,1293,Fell,14.18333,75.8
12243,Valid,299,Fell,31.6,65.78333
12245,Valid,1630,Fell,-7,115.5
12246,Valid,400,Fell,32.08333,76.3
12251,Valid,11355,Fell,4.7,33.63333
47357,Valid,1600,Fell,20.33916,73.22329
12253,Valid,3500,Fell,42.45,73.36667
12256,Valid,3000,Fell,47.21667,81.01667
12258,Valid,2220,Fell,-3.5,35.58333
12260,Valid,180,Fell,12.9,7.15
12262,Valid,22000,Fell,27.8,67.16667
12263,Valid,2950,Fell,31.58333,71.6
12264,Valid,41730,Fell,-35.08333,139.91667
12266,Valid,710,Fell,35.36667,136.76667
30740,Valid,16820,Fell,29.58333,77.58333
35465,Valid,1500,Fell,11.33333,10.08333
47351,Valid,6800,Fell,25.14333,75.81333
12268,Valid,85000,Fell,39.26333,31.78
12270,Valid,3300,Fell,-7.75,112.01667
53654,Valid,5760,Fell,36.54194,29.41822
12275,Valid,6937,Fell,29.45,-96
